"100, 1000, 1 million","Trăm, nghìn, triệu",Numbers & Time
Are you drunk?,Bạn say à?,Social Basics
Beer please.,Vui lòng cho bia,Dining & Ordering
Bon appetit.,Mời anh ăn cơm.,Dining & Ordering
Can I have...,Tôi có thể lấy...,Dining & Ordering
Can I?,Tôi có thể?,Social Basics
Can I take a photo?,Tôi có thể chụp ảnh không?,Directions & Facilities
Do you have..,Bạn có.... không?,Dining & Ordering
Do you have food?,Bạn có đồ ăn không?,Dining & Ordering
Good evening.,Chào buổi tối,Greetings
Goodnight.,Chúc ngủ ngon,Greetings
Half.,Nửa,Numbers & Time
Have a nice day.,Chúc một ngày tốt lành,Greetings
Help.,giúp (zup) đỡ,Social Basics
I am English.,Tôi là người Anh,Identity
I am from England.,Tôi đến từ nước Anh.,Identity
I don't understand.,Tôi không hiểu,Identity
I would like.,Tôi muốn,Social Basics
Menu.,Thực đơn,Dining & Ordering
"minute, hour, day, week, month, year","phút, giờ, ngày, tuần, tháng, năm",Numbers & Time
Please.,Làm ơn,Social Basics
Take away.,Mang đi,Dining & Ordering
Thank you very much.,Cảm ơn rất nhiều,Social Basics
That's cool.,thật tuyệt,Social Basics
What is..?,là gì?,Social Basics
1 to 10,"Một, hai, ba, bốn, năm, sáu, bảy, tám, chín, mười",Numbers & Time
Can I pay?,Tính tiền,Dining & Ordering
"Coffee black ice, no sugar.","Cà phê đen đá, không đường",Dining & Ordering
Get off here.,Đây đây,Directions & Facilities
Good afternoon.,Chào buổi chiều,Greetings
Good morning.,Chào buổi sáng,Greetings
Goodbye.,Tạm biệt,Greetings
Great.,Tuyệt,Social Basics
Hello (polite).,Xin chào,Greetings
Hello.,"Chão em (younger), anh (older/male equal), ban (friend), chi (older women), co (aunty)",Greetings
Hello friends.,Chão cac ban.,Greetings
Hey (to young waiter).,Em ơi,Dining & Ordering
How are you?,Bạn khỏe không?,Greetings
How much?,Bao nhiêu,Dining & Ordering
I speak little.,Tôi ít nói Viet,Identity
My name is...,Tên tôi là...,Identity
Nice to meet you.,Rất vui được gặp bạn.,Greetings
No problem.,Không sao,Social Basics
No thank you.,"không, cảm ơn",Social Basics
Oh my god.,Trời đất ơi,Social Basics
One beer please.,Cha toi mot bia,Dining & Ordering
One more (beer).,Thêm môt,Dining & Ordering
See you later.,Hẹn gặp lại sau,Greetings
Sorry / Excuse me.,Xin lỗi,Social Basics
Tall.,Cao,Dining & Ordering
Thank you.,Cảm ơn,Social Basics
Thank you everyone.,Cảm ơn cac ban,Social Basics
Toilet?,Nhà vay sinh?,Directions & Facilities
What is your name?,Bạn tên là gì (Zi),Identity
Very delicious.,Ngon Lam,Dining & Ordering
Yes.,Vang/Da (ya),Social Basics
Coconut.,Dừa,Food & Ingredients
Draft Beer.,Bia tươi,Food & Ingredients
Spicy.,Cay,Food & Ingredients
Peanuts.,Đậu phộng,Food & Ingredients
Water.,Nước,Food & Ingredients
Strong.,Mạnh (mang),Food & Ingredients
"Soy, chilli sauce.","Nước tương, tương ớt?",Food & Ingredients
"mango, banana, passion fruit, avocado","xoài, chuối, chanh dây, bơ",Food & Ingredients
